Measurement: I_leakage
  step	MIN(i(V1))	FROM	TO
   468	-7.91881e-06	-0.707	0.707
   469	-5.8394e-06	-0.707	0.707
   470	-1.03443e-05	-0.707	0.707
   471	-8.94267e-06	-0.707	0.707
   472	-5.36151e-06	-0.707	0.707
   473	-8.95649e-06	-0.707	0.707
   474	-7.62046e-06	-0.707	0.707
   475	-9.60968e-06	-0.707	0.707
   476	-9.58361e-06	-0.707	0.707
   477	-8.07922e-06	-0.707	0.707
   478	-7.0214e-06	-0.707	0.707
   479	-9.18196e-06	-0.707	0.707
   480	-6.62632e-06	-0.707	0.707
   481	-1.24712e-05	-0.707	0.707
   482	-8.08045e-06	-0.707	0.707
   483	-1.12746e-05	-0.707	0.707
   484	-7.33285e-06	-0.707	0.707
   485	-9.66897e-06	-0.707	0.707
   486	-6.90922e-06	-0.707	0.707
   487	-8.71681e-06	-0.707	0.707
   488	-8.67877e-06	-0.707	0.707
   489	-1.12514e-05	-0.707	0.707
   490	-6.96115e-06	-0.707	0.707
   491	-7.78423e-06	-0.707	0.707
   492	-8.67084e-06	-0.707	0.707
   493	-9.97471e-06	-0.707	0.707
   494	-6.92315e-06	-0.707	0.707
   495	-1.04002e-05	-0.707	0.707
   496	-5.689e-06	-0.707	0.707
   497	-6.06389e-06	-0.707	0.707
   498	-9.8694e-06	-0.707	0.707
   499	-8.36527e-06	-0.707	0.707
   500	-9.11419e-06	-0.707	0.707
   501	-6.33361e-06	-0.707	0.707
   502	-9.32211e-06	-0.707	0.707
   503	-7.16512e-06	-0.707	0.707
   504	-6.14441e-06	-0.707	0.707
   505	-9.70562e-06	-0.707	0.707
   506	-7.89571e-06	-0.707	0.707
   507	-9.82128e-06	-0.707	0.707
   508	-1.02666e-05	-0.707	0.707
   509	-9.44315e-06	-0.707	0.707
   510	-8.81086e-06	-0.707	0.707
   511	-7.4717e-06	-0.707	0.707
   512	-9.26148e-06	-0.707	0.707
   513	-8.60189e-06	-0.707	0.707
   514	-9.81798e-06	-0.707	0.707
   515	-6.86134e-06	-0.707	0.707
   516	-8.16454e-06	-0.707	0.707
   517	-8.39394e-06	-0.707	0.707
   518	-7.2444e-06	-0.707	0.707
   519	-1.0735e-05	-0.707	0.707
   520	-6.38164e-06	-0.707	0.707
   521	-8.25301e-06	-0.707	0.707
   522	-9.93551e-06	-0.707	0.707
   523	-8.77123e-06	-0.707	0.707
   524	-1.16541e-05	-0.707	0.707
   525	-1.05922e-05	-0.707	0.707
   526	-6.74034e-06	-0.707	0.707
   527	-1.17201e-05	-0.707	0.707
   528	-7.37308e-06	-0.707	0.707
   529	-1.07133e-05	-0.707	0.707
   530	-1.1411e-05	-0.707	0.707
   531	-1.09741e-05	-0.707	0.707
   532	-7.26881e-06	-0.707	0.707
   533	-7.58805e-06	-0.707	0.707
   534	-7.64085e-06	-0.707	0.707
   535	-7.61095e-06	-0.707	0.707
   536	-9.33178e-06	-0.707	0.707
   537	-9.29994e-06	-0.707	0.707
   538	-8.41051e-06	-0.707	0.707
   539	-1.03724e-05	-0.707	0.707
   540	-9.2178e-06	-0.707	0.707
   541	-5.62448e-06	-0.707	0.707
   542	-9.65387e-06	-0.707	0.707
   543	-9.20013e-06	-0.707	0.707
   544	-7.89389e-06	-0.707	0.707
   545	-8.14297e-06	-0.707	0.707
   546	-9.80719e-06	-0.707	0.707
   547	-7.40928e-06	-0.707	0.707
   548	-8.65988e-06	-0.707	0.707
   549	-9.97782e-06	-0.707	0.707
   550	-7.14439e-06	-0.707	0.707
   551	-7.50097e-06	-0.707	0.707
   552	-1.00807e-05	-0.707	0.707
   553	-8.32776e-06	-0.707	0.707
   554	-8.25914e-06	-0.707	0.707
   555	-7.29527e-06	-0.707	0.707
   556	-8.39812e-06	-0.707	0.707
   557	-7.25742e-06	-0.707	0.707
   558	-8.63746e-06	-0.707	0.707
   559	-7.84855e-06	-0.707	0.707
   560	-7.33572e-06	-0.707	0.707
   561	-6.46514e-06	-0.707	0.707
   562	-1.00039e-05	-0.707	0.707
   563	-7.78309e-06	-0.707	0.707
   564	-7.75194e-06	-0.707	0.707
   565	-9.0392e-06	-0.707	0.707
   566	-6.54833e-06	-0.707	0.707
   567	-6.60322e-06	-0.707	0.707
   568	-7.31624e-06	-0.707	0.707
   569	-6.00767e-06	-0.707	0.707
   570	-8.69266e-06	-0.707	0.707
   571	-9.55192e-06	-0.707	0.707
   572	-7.94465e-06	-0.707	0.707
   573	-8.90135e-06	-0.707	0.707
   574	-1.00854e-05	-0.707	0.707
   575	-1.14709e-05	-0.707	0.707
   576	-1.21241e-05	-0.707	0.707
   577	-8.95732e-06	-0.707	0.707
   578	-9.18704e-06	-0.707	0.707
   579	-5.47581e-06	-0.707	0.707
   580	-7.07734e-06	-0.707	0.707
   581	-7.19283e-06	-0.707	0.707
   582	-8.93542e-06	-0.707	0.707
   583	-9.76885e-06	-0.707	0.707
   584	-8.3423e-06	-0.707	0.707
   585	-7.25889e-06	-0.707	0.707
   586	-8.39314e-06	-0.707	0.707
   587	-6.08835e-06	-0.707	0.707
   588	-7.30974e-06	-0.707	0.707
   589	-8.83714e-06	-0.707	0.707
   590	-8.21453e-06	-0.707	0.707
   591	-9.46478e-06	-0.707	0.707
   592	-5.97074e-06	-0.707	0.707
   593	-1.04797e-05	-0.707	0.707
   594	-7.01088e-06	-0.707	0.707
   595	-7.6937e-06	-0.707	0.707
   596	-8.42283e-06	-0.707	0.707
   597	-1.08932e-05	-0.707	0.707
   598	-8.70577e-06	-0.707	0.707
   599	-9.86606e-06	-0.707	0.707
   600	-6.12116e-06	-0.707	0.707
   601	-7.38015e-06	-0.707	0.707
   602	-9.3198e-06	-0.707	0.707
   603	-6.41369e-06	-0.707	0.707
   604	-9.94022e-06	-0.707	0.707
   605	-6.13554e-06	-0.707	0.707
   606	-6.42835e-06	-0.707	0.707
   607	-7.77373e-06	-0.707	0.707
   608	-8.34382e-06	-0.707	0.707
   609	-1.19638e-05	-0.707	0.707
   610	-1.07441e-05	-0.707	0.707
   611	-9.37133e-06	-0.707	0.707
   612	-8.96178e-06	-0.707	0.707
   613	-6.73155e-06	-0.707	0.707
   614	-8.98356e-06	-0.707	0.707
   615	-8.48482e-06	-0.707	0.707
   616	-8.24886e-06	-0.707	0.707
   617	-1.08311e-05	-0.707	0.707
   618	-9.54371e-06	-0.707	0.707
   619	-1.09216e-05	-0.707	0.707
   620	-8.8939e-06	-0.707	0.707
   621	-8.13273e-06	-0.707	0.707
   622	-1.02533e-05	-0.707	0.707
   623	-1.08078e-05	-0.707	0.707
   624	-7.42241e-06	-0.707	0.707
   625	-8.43868e-06	-0.707	0.707
   626	-7.58387e-06	-0.707	0.707
   627	-8.20174e-06	-0.707	0.707
   628	-5.99195e-06	-0.707	0.707
   629	-1.26777e-05	-0.707	0.707
   630	-7.79383e-06	-0.707	0.707
   631	-1.02083e-05	-0.707	0.707
   632	-8.66204e-06	-0.707	0.707
   633	-6.2444e-06	-0.707	0.707
   634	-6.69523e-06	-0.707	0.707
   635	-9.7777e-06	-0.707	0.707
   636	-9.31181e-06	-0.707	0.707
   637	-8.02836e-06	-0.707	0.707
   638	-8.73716e-06	-0.707	0.707
   639	-8.03929e-06	-0.707	0.707
   640	-8.58511e-06	-0.707	0.707
   641	-7.91335e-06	-0.707	0.707
   642	-1.12953e-05	-0.707	0.707
   643	-8.25703e-06	-0.707	0.707
   644	-8.18963e-06	-0.707	0.707
   645	-7.11928e-06	-0.707	0.707
   646	-8.13303e-06	-0.707	0.707
   647	-9.96529e-06	-0.707	0.707
   648	-7.73419e-06	-0.707	0.707
   649	-8.15593e-06	-0.707	0.707
   650	-5.35548e-06	-0.707	0.707
   651	-8.05993e-06	-0.707	0.707
   652	-9.75173e-06	-0.707	0.707
   653	-6.68052e-06	-0.707	0.707
   654	-6.99325e-06	-0.707	0.707
   655	-9.59992e-06	-0.707	0.707
   656	-7.95162e-06	-0.707	0.707
   657	-7.29098e-06	-0.707	0.707
   658	-6.40557e-06	-0.707	0.707
